<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RUBUSD;D;20201030;000000;0.0126390;0.0126750;0.0125290;0.0125480;259
RUBUSD;D;20201101;000000;0.0125480;0.0126660;0.0125050;0.0125940;64
RUBUSD;D;20201102;000000;0.0125940;0.0125940;0.0123260;0.0123600;288
RUBUSD;D;20201103;000000;0.0124260;0.0126280;0.0123570;0.0126280;286
RUBUSD;D;20201104;000000;0.0125940;0.0128730;0.0124900;0.0128460;287
RUBUSD;D;20201105;000000;0.0128670;0.0130510;0.0126830;0.0129620;288
RUBUSD;D;20201106;000000;0.0129580;0.0130080;0.0128030;0.0128930;274
RUBUSD;D;20201108;000000;0.0128770;0.0128990;0.0128330;0.0128970;61
RUBUSD;D;20201109;000000;0.0128980;0.0131370;0.0128620;0.0130950;271
RUBUSD;D;20201110;000000;0.0130650;0.0130930;0.0129820;0.0130330;280
RUBUSD;D;20201111;000000;0.0130460;0.0131070;0.0129170;0.0129770;287
RUBUSD;D;20201112;000000;0.0129770;0.0130080;0.0128530;0.0129180;287
RUBUSD;D;20201113;000000;0.0129180;0.0129720;0.0128310;0.0129170;276
RUBUSD;D;20201115;000000;0.0128900;0.0129100;0.0128760;0.0128810;60
RUBUSD;D;20201116;000000;0.0129100;0.0131040;0.0128800;0.0130320;285
RUBUSD;D;20201117;000000;0.0130320;0.0131130;0.0130090;0.0130760;288
RUBUSD;D;20201118;000000;0.0130790;0.0131950;0.0130600;0.0131270;288
RUBUSD;D;20201119;000000;0.0131410;0.0131410;0.0130150;0.0130410;287
RUBUSD;D;20201120;000000;0.0130990;0.0131350;0.0130260;0.0131220;274
RUBUSD;D;20201122;000000;0.0130810;0.0131220;0.0130620;0.0130860;57
RUBUSD;D;20201123;000000;0.0130860;0.0131870;0.0130340;0.0131170;288
RUBUSD;D;20201124;000000;0.0131140;0.0132250;0.0130910;0.0132130;288
RUBUSD;D;20201125;000000;0.0132100;0.0132300;0.0131260;0.0132080;288
RUBUSD;D;20201126;000000;0.0131890;0.0132330;0.0131640;0.0131850;288
RUBUSD;D;20201127;000000;0.0131780;0.0131880;0.0130680;0.0131190;272
RUBUSD;D;20201129;000000;0.0131480;0.0131600;0.0130640;0.0131500;64
RUBUSD;D;20201130;000000;0.0131530;0.0131570;0.0130220;0.0130440;288
RUBUSD;D;20201201;000000;0.0130450;0.0131910;0.0130400;0.0131300;288
RUBUSD;D;20201202;000000;0.0131340;0.0132950;0.0131100;0.0132950;288
RUBUSD;D;20201203;000000;0.0132680;0.0134170;0.0132310;0.0134170;287
RUBUSD;D;20201204;000000;0.0133770;0.0135040;0.0133580;0.0134710;271
RUBUSD;D;20201206;000000;0.0134710;0.0134970;0.0134280;0.0134760;64
RUBUSD;D;20201207;000000;0.0134730;0.0136030;0.0133880;0.0135140;288
RUBUSD;D;20201208;000000;0.0135140;0.0136470;0.0134870;0.0136210;288
RUBUSD;D;20201209;000000;0.0135890;0.0136260;0.0134660;0.0135380;288
RUBUSD;D;20201210;000000;0.0135380;0.0136620;0.0135010;0.0136520;288
RUBUSD;D;20201211;000000;0.0136380;0.0136810;0.0135880;0.0136750;271
RUBUSD;D;20201213;000000;0.0136500;0.0136750;0.0136180;0.0136670;64
RUBUSD;D;20201214;000000;0.0136260;0.0136940;0.0134500;0.0135490;288
RUBUSD;D;20201215;000000;0.0135480;0.0136340;0.0135110;0.0136040;288
RUBUSD;D;20201216;000000;0.0136020;0.0136360;0.0135300;0.0136180;288
RUBUSD;D;20201217;000000;0.0135900;0.0137230;0.0135800;0.0136800;288
RUBUSD;D;20201218;000000;0.0136360;0.0136830;0.0135040;0.0136240;273
RUBUSD;D;20201220;000000;0.0136070;0.0136070;0.0134620;0.0135110;58
RUBUSD;D;20201221;000000;0.0135080;0.0135340;0.0132230;0.0133320;249
RUBUSD;D;20201222;000000;0.0133350;0.0133530;0.0131220;0.0131330;278
RUBUSD;D;20201223;000000;0.0131420;0.0133310;0.0131210;0.0132950;284
RUBUSD;D;20201224;000000;0.0132830;0.0135190;0.0132580;0.0134890;285
RUBUSD;D;20201225;000000;0.0134610;0.0135380;0.0134340;0.0134630;259
RUBUSD;D;20201227;000000;0.0134410;0.0134870;0.0134400;0.0134860;55
RUBUSD;D;20201228;000000;0.0134700;0.0135500;0.0134310;0.0135230;288
RUBUSD;D;20201229;000000;0.0134330;0.0135860;0.0134300;0.0135190;281
RUBUSD;D;20201230;000000;0.0134860;0.0135980;0.0132970;0.0134060;287
RUBUSD;D;20201231;000000;0.0134060;0.0135130;0.0132460;0.0135080;271
RUBUSD;D;20210101;000000;0.0135080;0.0135080;0.0135080;0.0135080;16
RUBUSD;D;20210103;000000;0.0135070;0.0135070;0.0133830;0.0134040;40
